accel_x,accel_y,accel_z
5.071913,5.158,6.399076
5.050392,5.193869,6.427772
5.02887,5.201043,6.384728
5.007349,5.186695,6.470815
5.100609,5.172348,6.463641
5.100609,5.129304,6.334511
5.02887,5.172348,6.37038
5.071913,5.107783,6.31299
5.036044,5.107783,6.341685
5.071913,5.201043,6.434945
5.050392,5.143652,6.442119
5.093435,5.107783,6.434945
5.114956,5.129304,6.442119
5.165174,5.244086,6.434945
5.100609,5.179521,6.456467
5.093435,5.215391,6.391902
5.107783,5.201043,6.470815
5.057566,5.158,6.305816
5.150826,5.208217,6.420598
5.114956,5.186695,6.449293
5.079087,5.12213,6.377554
5.129304,5.172348,6.477988
5.093435,5.158,6.391902
5.107783,5.179521,6.442119
5.114956,5.172348,6.442119
5.079087,5.150826,6.413424
5.02887,5.143652,6.434945
5.093435,5.236912,6.334511
5.129304,5.057566,6.427772
5.057566,5.150826,6.571249
5.071913,5.143652,6.49951
5.079087,5.12213,6.413424
5.158,5.172348,6.413424
5.014523,5.143652,6.442119
5.02887,5.150826,6.456467
5.114956,5.258433,6.391902
5.093435,5.165174,6.413424
5.100609,5.179521,6.384728
5.021697,5.193869,6.363207
5.093435,5.165174,6.37038
5.150826,5.186695,6.399076
5.129304,5.136478,6.40625
5.043218,5.172348,6.521031
5.100609,5.172348,6.413424
5.06474,5.129304,6.399076
5.007349,5.143652,6.40625
5.12213,5.201043,6.37038
5.06474,5.179521,6.377554
5.12213,5.236912,6.327338
5.12213,5.222564,6.40625
5.036044,5.215391,6.513858
5.107783,5.165174,6.463641
5.02887,5.043218,6.427772
5.129304,5.179521,6.463641
5.150826,5.114956,6.356033
5.079087,5.186695,6.427772
5.02887,5.172348,6.413424
5.057566,5.12213,6.456467
5.12213,5.158,6.399076
5.100609,5.100609,6.463641
5.100609,5.186695,6.578423
5.150826,5.193869,6.384728
5.057566,5.258433,6.420598
5.129304,5.186695,6.449293
5.007349,5.165174,6.305816
5.129304,5.150826,6.384728
5.057566,5.172348,6.399076
5.150826,5.172348,6.456467
5.057566,5.229738,6.442119
5.114956,5.158,6.485162
5.071913,5.150826,6.434945
5.107783,5.193869,6.463641
5.107783,5.136478,6.399076
5.136478,5.165174,6.348859
5.050392,5.215391,6.391902
5.06474,5.086261,6.40625
5.043218,5.158,6.348859
5.086261,5.129304,6.434945
5.043218,5.165174,6.463641
5.02887,5.208217,6.470815
5.158,5.229738,6.427772
5.093435,5.136478,6.420598
5.057566,5.186695,6.427772
5.02887,5.114956,6.363207
5.043218,5.193869,6.363207
5.107783,5.143652,6.485162
5.114956,5.229738,6.420598
5.086261,5.12213,6.40625
5.100609,5.129304,6.434945
5.107783,5.179521,6.492336
5.086261,5.193869,6.456467
5.050392,5.193869,6.470815
5.158,5.143652,6.463641
5.114956,5.143652,6.377554
5.100609,5.107783,6.40625
5.071913,5.12213,6.434945
5.043218,5.114956,6.40625
5.050392,5.107783,6.384728
5.150826,5.222564,6.463641
5.079087,5.222564,6.399076
5.12213,5.208217,6.37038
5.100609,5.186695,6.327338
5.014523,5.172348,6.434945
5.079087,5.222564,6.492336
5.079087,5.201043,6.477988
5.086261,5.208217,6.442119
5.086261,5.215391,6.377554
5.114956,5.129304,6.399076
5.057566,5.129304,6.391902
5.057566,5.165174,6.377554
5.043218,5.129304,6.420598
5.036044,5.12213,6.391902
5.079087,5.201043,6.413424
5.050392,5.165174,6.384728
5.165174,5.12213,6.37038
5.150826,5.114956,6.456467
5.057566,5.193869,6.434945
5.06474,5.179521,6.40625
5.086261,5.150826,6.399076
5.079087,5.258433,6.399076
5.12213,5.100609,6.391902
5.100609,5.143652,6.420598
4.985827,5.079087,6.377554
5.136478,5.158,6.384728
5.079087,5.208217,6.420598
5.143652,5.179521,6.434945
5.071913,5.193869,6.456467
5.036044,5.165174,6.442119
4.978653,5.222564,6.463641
5.02887,5.222564,6.449293
5.086261,5.158,6.377554
5.107783,5.229738,6.40625
5.12213,5.150826,6.449293
5.086261,5.114956,6.377554
5.071913,5.136478,6.348859
5.057566,5.179521,6.434945
5.02887,5.222564,6.449293
5.079087,5.143652,6.37038
5.06474,5.193869,6.434945
5.007349,5.079087,6.434945
5.043218,5.179521,6.449293
5.12213,5.158,6.427772
5.007349,5.186695,6.449293
5.079087,5.129304,6.427772
5.079087,5.222564,6.420598
5.12213,5.201043,6.506684
5.158,5.136478,6.420598
5.143652,5.179521,6.513858
5.143652,5.129304,6.442119
5.107783,5.165174,6.413424
5.100609,5.136478,6.485162
5.100609,5.143652,6.449293
5.143652,5.107783,6.456467
5.043218,5.208217,6.341685
5.086261,5.150826,6.399076
5.079087,5.193869,6.427772
5.093435,5.158,6.434945
5.050392,5.193869,6.470815
5.071913,5.201043,6.37038
5.100609,5.236912,6.463641
5.143652,5.114956,6.391902
5.071913,5.158,6.40625
5.086261,5.158,6.391902
5.06474,5.165174,6.356033
5.02887,5.158,6.384728
5.050392,5.079087,6.363207
5.079087,5.193869,6.449293
5.036044,5.143652,6.449293
5.06474,5.222564,6.420598
5.165174,5.215391,6.391902
5.02887,5.143652,6.399076
5.02887,5.186695,6.413424
5.12213,5.208217,6.384728
5.100609,5.158,6.492336
5.129304,5.201043,6.384728
5.086261,5.143652,6.427772
5.100609,5.143652,6.399076
5.079087,5.208217,6.384728
5.06474,5.158,6.377554
5.100609,5.222564,6.427772
5.093435,5.129304,6.470815
5.071913,5.114956,6.37038
5.172348,5.12213,6.434945
5.050392,5.208217,6.442119
5.150826,5.208217,6.485162
5.050392,5.12213,6.391902
5.02887,5.12213,6.384728
5.12213,5.193869,6.363207
5.079087,5.258433,6.399076
5.136478,5.193869,6.40625
5.12213,5.179521,6.377554
5.093435,5.172348,6.37038
5.021697,5.165174,6.463641
5.079087,5.236912,6.463641
5.100609,5.208217,6.442119
5.079087,5.12213,6.492336
5.093435,5.107783,6.399076
5.093435,5.222564,6.40625
5.02887,5.229738,6.391902
5.12213,5.165174,6.442119
5.093435,5.208217,6.463641
5.043218,5.186695,6.391902
5.06474,5.165174,6.420598
5.114956,5.244086,6.40625
5.071913,5.179521,6.427772
5.107783,5.208217,6.470815
5.114956,5.186695,6.363207
5.06474,5.222564,6.348859
5.06474,5.222564,6.37038
5.114956,5.236912,6.334511
5.086261,5.165174,6.40625
5.043218,5.093435,6.377554
5.057566,5.143652,6.449293
5.107783,5.136478,6.463641
5.165174,5.172348,6.470815
5.114956,5.12213,6.420598
5.079087,5.100609,6.377554
5.093435,5.222564,6.442119
5.129304,5.12213,6.449293
5.021697,5.165174,6.434945
5.079087,5.100609,6.377554
5.12213,5.179521,6.341685
5.100609,5.150826,6.442119
5.093435,5.193869,6.463641
5.107783,5.215391,6.413424
5.071913,5.215391,6.399076
5.086261,5.244086,6.449293
5.071913,5.150826,6.391902
5.107783,5.150826,6.413424
5.079087,5.272781,6.485162
5.071913,5.114956,6.399076
5.079087,5.12213,6.377554
5.150826,5.179521,6.456467
5.043218,5.222564,6.485162
5.02887,5.186695,6.449293
5.071913,5.179521,6.399076
5.050392,5.179521,6.427772
5.158,5.179521,6.384728
5.215391,5.201043,6.420598
5.093435,5.129304,6.40625
5.129304,5.215391,6.37038
5.043218,5.150826,6.470815
5.036044,5.158,6.420598
5.021697,5.172348,6.463641
5.100609,5.179521,6.399076
5.150826,5.150826,6.391902
5.06474,5.057566,6.477988
5.050392,5.186695,6.413424
5.06474,5.150826,6.40625
5.086261,5.158,6.413424
5.114956,5.129304,6.384728
5.129304,5.172348,6.384728
5.007349,5.208217,6.391902
5.057566,5.093435,6.449293
5.165174,5.057566,6.456467
5.014523,5.093435,6.391902
5.100609,5.193869,6.384728
5.12213,5.143652,6.456467
5.158,5.172348,6.449293
5.12213,5.107783,6.449293
5.086261,5.165174,6.420598
5.100609,5.093435,6.31299
5.136478,5.186695,6.449293
5.071913,5.172348,6.492336
5.043218,5.172348,6.470815
5.107783,5.114956,6.377554
5.107783,5.136478,6.413424
5.06474,5.265607,6.49951
5.12213,5.201043,6.470815
5.06474,5.172348,6.470815
5.086261,5.186695,6.542553
5.114956,5.129304,6.449293
5.036044,5.086261,6.356033
5.036044,5.129304,6.413424
5.12213,5.114956,6.556901
5.100609,5.172348,6.492336
5.093435,5.172348,6.449293
5.100609,5.100609,6.427772
5.057566,5.150826,6.449293
5.100609,5.186695,6.427772
5.107783,5.193869,6.348859
5.143652,5.143652,6.377554
5.02887,5.158,6.399076
5.050392,5.12213,6.377554
5.06474,5.100609,6.427772
5.100609,5.086261,6.420598
5.079087,5.186695,6.470815
5.071913,5.150826,6.37038
5.079087,5.179521,6.413424
5.079087,5.179521,6.470815
5.036044,5.107783,6.391902
5.079087,5.165174,6.427772
5.093435,5.179521,6.463641
5.079087,5.143652,6.413424
5.057566,5.129304,6.420598
5.079087,5.165174,6.434945
5.057566,5.129304,6.434945
5.071913,5.158,6.456467
5.136478,5.236912,6.434945
5.06474,5.201043,6.449293
5.107783,5.136478,6.427772
5.107783,5.279955,6.477988
5.036044,5.158,6.341685
5.107783,5.129304,6.384728
5.100609,5.114956,6.427772
5.06474,5.186695,6.485162
5.02887,5.172348,6.463641
5.043218,5.179521,6.442119
