I3,I4,I5
-0.006392,-0.009587,0.009587
0.004261,0.005326,-0.017044
0.011718,0.001065,-0.003196
0.003196,-0.004261,0.001065
0.009587,0.006392,0.001065
0.003196,0.014914,0.002131
0,-0.001065,0.008522
0.003196,-0.006392,-0.009587
0.005326,0.006392,0.002131
-0.006392,0.018109,0.006392
-0.002131,0.002131,-0.009587
0.011718,-0.007457,0.002131
-0.009587,0.004261,-0.022371
0,0.003196,0.02024
0.006392,0.017044,0.013848
0.007457,0.017044,-0.003196
0,-0.009587,-0.010653
0.013848,0.006392,-0.007457
0.010653,-0.005326,-0.002131
0,-0.018109,0.005326
0.011718,0.006392,0.017044
0.002131,-0.006392,-0.008522
-0.003196,-0.002131,-0.010653
-0.002131,0,-0.015979
0.012783,0.002131,-0.004261
0.014914,-0.005326,0.008522
-0.004261,0.004261,0.013848
-0.003196,-0.009587,0.011718
-0.006392,-0.008522,0.004261
-0.007457,0.002131,-0.004261
0.012783,-0.013848,-0.010653
-0.003196,-0.003196,-0.006392
0.004261,0.02024,0.002131
0.012783,0.018109,-0.001065
0.009587,0.005326,-0.012783
-0.008522,-0.003196,-0.004261
-0.002131,0.006392,0.015979
0.011718,0,-0.02024
0.014914,-0.003196,0.004261
-0.006392,0.001065,0.001065
-0.011718,0,0.002131
0.005326,0.005326,0.005326
0.015979,0.004261,0.005326
0.004261,0.014914,0.003196
0.010653,-0.004261,0.003196
0.018109,0.004261,-0.002131
0.005326,-0.006392,0.008522
-0.005326,-0.008522,-0.001065
0.006392,-0.006392,-0.010653
0.007457,0.006392,0.029827
0.003196,-0.008522,0.028762
0.006392,0.006392,-0.007457
0.012783,0.014914,-0.02024
-0.003196,-0.003196,-0.006392
-0.002131,-0.003196,0.014914
0.004261,0.006392,0.010653
0.011718,0.003196,0.004261
0.004261,-0.012783,0.011718
-0.001065,0.003196,0.017044
0.005326,0.008522,-0.002131
0.010653,-0.002131,0
0.011718,0.008522,-0.001065
0.011718,0.019175,0.021305
0.001065,-0.008522,-0.009587
-0.005326,-0.019175,-0.007457
-0.001065,0.008522,0.012783
-0.004261,0.009587,0.002131
0.004261,0.004261,-0.011718
0.008522,-0.018109,-0.018109
-0.003196,0,-0.014914
0.008522,-0.012783,0.006392
0.005326,-0.015979,-0.002131
0.015979,0.012783,0.02024
0.015979,0.001065,0.019175
0.012783,-0.009587,0.006392
0.002131,0.005326,0.004261
-0.001065,0.002131,-0.004261
0.002131,-0.001065,-0.013848
0.013848,0.017044,0.004261
0.011718,-0.004261,-0.007457
-0.009587,-0.030893,-0.009587
-0.004261,-0.006392,0
0.003196,0.021305,0.021305
-0.004261,0.021305,-0.001065
0.013848,-0.006392,-0.002131
-0.003196,-0.006392,-0.007457
-0.001065,0.004261,-0.003196
0.011718,0.001065,0.011718
0.013848,-0.015979,0.002131
